id,url
AL,http://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Alabama.svg,
AK,http://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Alaska.svg,
AZ,http://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Arizona.svg,
AR,http://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Arkansas.svg,
CA,http://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_California.svg,
CO,http://upload.wikimedia.org/wikipedia/commons/4/46/Flag_of_Colorado.svg,
CT,http://upload.wikimedia.org/wikipedia/commons/9/96/Flag_of_Connecticut.svg,
DE,http://upload.wikimedia.org/wikipedia/commons/c/c6/Flag_of_Delaware.svg,
FL,http://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Florida.svg,
GA,http://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,
HI,http://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Hawaii.svg,
ID,http://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_Idaho.svg,
IL,http://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Illinois.svg,
IN,http://upload.wikimedia.org/wikipedia/commons/a/ac/Flag_of_Indiana.svg,
IA,http://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Iowa.svg,
KS,http://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Kansas.svg,
KY,http://upload.wikimedia.org/wikipedia/commons/8/8d/Flag_of_Kentucky.svg,
LA,http://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_Louisiana.svg,
ME,http://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_Maine.svg,
MD,http://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Maryland.svg,
MA,http://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Massachusetts.svg,
MI,http://upload.wikimedia.org/wikipedia/commons/b/b5/Flag_of_Michigan.svg,
MN,http://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Minnesota.svg,
MS,http://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_Mississippi.svg,
MO,http://upload.wikimedia.org/wikipedia/commons/5/5a/Flag_of_Missouri.svg,
MT,http://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_Montana.svg,
NE,http://upload.wikimedia.org/wikipedia/commons/4/4d/Flag_of_Nebraska.svg,
NV,http://upload.wikimedia.org/wikipedia/commons/f/f1/Flag_of_Nevada.svg,
NH,http://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_New_Hampshire.svg,
NJ,http://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_New_Jersey.svg,
NM,http://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_New_Mexico.svg,
NY,http://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_New_York.svg,
NC,http://upload.wikimedia.org/wikipedia/commons/b/bb/Flag_of_North_Carolina.svg,
ND,http://upload.wikimedia.org/wikipedia/commons/e/ee/Flag_of_North_Dakota.svg,
OH,http://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Ohio.svg,
OK,http://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_Oklahoma.svg,
OR,http://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Oregon.svg,
PA,http://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Pennsylvania.svg,
RI,http://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Rhode_Island.svg,
SC,http://upload.wikimedia.org/wikipedia/commons/6/69/Flag_of_South_Carolina.svg,
SD,http://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_South_Dakota.svg,
TN,http://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg,
TX,http://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Texas.svg,
UT,http://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Utah.svg,
VT,http://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Vermont.svg,
VA,http://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Virginia.svg,
WA,http://upload.wikimedia.org/wikipedia/commons/5/54/Flag_of_Washington.svg,
WV,http://upload.wikimedia.org/wikipedia/commons/2/22/Flag_of_West_Virginia.svg,
WI,http://upload.wikimedia.org/wikipedia/commons/2/22/Flag_of_Wisconsin.svg,
WY,http://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Wyoming.svg,
DC,http://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_Washington%2C_D.C..svg,